"GEOID","FULL_NAME","tract","county","state","variable.x","Hispanic","moe.x","variable.y","White","moe.y","variable","Total","moe","Hispanic_Percent","White_Percent","category","Neighborhood_type","indicator_other"
06073016607,"Census Tract 166.07; San Diego County; California","Census Tract 166.07","San Diego"," California","B03002_012",1212,370,"B03002_003",4739,676,"B03002_001",6765,608,17.9157427937916,70.0517368810052,"core","70+ NL White",NA
06073016608,"Census Tract 166.08; San Diego County; California","Census Tract 166.08","San Diego"," California","B03002_012",317,171,"B03002_003",1920,280,"B03002_001",2641,373,12.0030291556229,72.699734948883,"core","70+ NL White",NA
06073016609,"Census Tract 166.09; San Diego County; California","Census Tract 166.09","San Diego"," California","B03002_012",1307,388,"B03002_003",4139,546,"B03002_001",5862,620,22.2961446605254,70.6073012623678,"core","70+ NL White",NA
06073016610,"Census Tract 166.10; San Diego County; California","Census Tract 166.10","San Diego"," California","B03002_012",881,553,"B03002_003",3326,580,"B03002_001",4754,840,18.5317627261254,69.9621371476651,"core","Other",NA
06073016613,"Census Tract 166.13; San Diego County; California","Census Tract 166.13","San Diego"," California","B03002_012",270,207,"B03002_003",1381,200,"B03002_001",1898,244,14.2255005268704,72.7608008429926,"core","70+ NL White",NA
06073016614,"Census Tract 166.14; San Diego County; California","Census Tract 166.14","San Diego"," California","B03002_012",482,134,"B03002_003",2667,383,"B03002_001",3900,433,12.3589743589744,68.3846153846154,"core","Other",NA
06073016615,"Census Tract 166.15; San Diego County; California","Census Tract 166.15","San Diego"," California","B03002_012",907,185,"B03002_003",2475,374,"B03002_001",4453,445,20.3682910397485,55.5805075230182,"core","Other",NA
06073016616,"Census Tract 166.16; San Diego County; California","Census Tract 166.16","San Diego"," California","B03002_012",1364,347,"B03002_003",2170,308,"B03002_001",4021,383,33.9219099726436,53.9666749564785,"core","Other",NA
06073016617,"Census Tract 166.17; San Diego County; California","Census Tract 166.17","San Diego"," California","B03002_012",1027,286,"B03002_003",2383,388,"B03002_001",3669,408,27.9912782774598,64.9495775415645,"core","Other",NA
06073016618,"Census Tract 166.18; San Diego County; California","Census Tract 166.18","San Diego"," California","B03002_012",632,144,"B03002_003",2451,535,"B03002_001",3600,585,17.5555555555556,68.0833333333333,"core","Other",NA
06073016619,"Census Tract 166.19; San Diego County; California","Census Tract 166.19","San Diego"," California","B03002_012",768,226,"B03002_003",2751,430,"B03002_001",4289,513,17.906271858242,64.1408253672185,"core","Other",NA
06073016620,"Census Tract 166.20; San Diego County; California","Census Tract 166.20","San Diego"," California","B03002_012",387,194,"B03002_003",1723,453,"B03002_001",2413,423,16.0381268130957,71.4048901782014,"core","70+ NL White",NA
06073016621,"Census Tract 166.21; San Diego County; California","Census Tract 166.21","San Diego"," California","B03002_012",458,153,"B03002_003",2577,364,"B03002_001",3825,508,11.9738562091503,67.3725490196078,"core","Other",NA
06073016703,"Census Tract 167.03; San Diego County; California","Census Tract 167.03","San Diego"," California","B03002_012",815,358,"B03002_003",2002,842,"B03002_001",2945,843,27.6740237691002,67.9796264855688,"core","Other",NA
06073016704,"Census Tract 167.04; San Diego County; California","Census Tract 167.04","San Diego"," California","B03002_012",1594,601,"B03002_003",5237,1084,"B03002_001",7685,1186,20.7417046193884,68.1457384515289,"core","Other",NA
06073016705,"Census Tract 167.05; San Diego County; California","Census Tract 167.05","San Diego"," California","B03002_012",1355,300,"B03002_003",2873,620,"B03002_001",4543,811,29.8261060972925,63.2401496808276,"core","Other",NA
06073016706,"Census Tract 167.06; San Diego County; California","Census Tract 167.06","San Diego"," California","B03002_012",827,347,"B03002_003",2007,537,"B03002_001",2922,413,28.3025325119781,68.6858316221766,"core","Other",NA
06073016804,"Census Tract 168.04; San Diego County; California","Census Tract 168.04","San Diego"," California","B03002_012",2763,1250,"B03002_003",5203,1026,"B03002_001",8790,1677,31.4334470989761,59.1922639362912,"core","Other",NA
06073016806,"Census Tract 168.06; San Diego County; California","Census Tract 168.06","San Diego"," California","B03002_012",1419,338,"B03002_003",2455,358,"B03002_001",4213,565,33.6814621409922,58.2720151910752,"core","Other",NA
06073016807,"Census Tract 168.07; San Diego County; California","Census Tract 168.07","San Diego"," California","B03002_012",1691,565,"B03002_003",5244,934,"B03002_001",7535,1098,22.4419376244194,69.5952222959522,"core","Other",NA
06073016809,"Census Tract 168.09; San Diego County; California","Census Tract 168.09","San Diego"," California","B03002_012",1565,429,"B03002_003",3338,475,"B03002_001",5629,532,27.8024515899805,59.3000532954344,"core","Other",NA
06073016810,"Census Tract 168.10; San Diego County; California","Census Tract 168.10","San Diego"," California","B03002_012",367,157,"B03002_003",2297,283,"B03002_001",3021,323,12.1482952664681,76.0344256868587,"core","70+ NL White",NA
06073016811,"Census Tract 168.11; San Diego County; California","Census Tract 168.11","San Diego"," California","B03002_012",644,327,"B03002_003",3540,725,"B03002_001",4549,758,14.156957573093,77.8193009452627,"core","70+ NL White",NA
06073016812,"Census Tract 168.12; San Diego County; California","Census Tract 168.12","San Diego"," California","B03002_012",213,164,"B03002_003",2211,407,"B03002_001",2783,393,7.65361121092346,79.4466403162055,"core","70+ NL White",NA
06073016813,"Census Tract 168.13; San Diego County; California","Census Tract 168.13","San Diego"," California","B03002_012",322,216,"B03002_003",3016,517,"B03002_001",3439,428,9.36318697295725,87.6999127653388,"core","70+ NL White",NA
06073016901,"Census Tract 169.01; San Diego County; California","Census Tract 169.01","San Diego"," California","B03002_012",1402,1339,"B03002_003",5340,710,"B03002_001",7438,1579,18.8491529981178,71.7934928744286,"core","70+ NL White",NA
06073016902,"Census Tract 169.02; San Diego County; California","Census Tract 169.02","San Diego"," California","B03002_012",564,131,"B03002_003",1519,273,"B03002_001",2530,346,22.2924901185771,60.0395256916996,"core","Other",NA
06073017006,"Census Tract 170.06; San Diego County; California","Census Tract 170.06","San Diego"," California","B03002_012",401,270,"B03002_003",2254,310,"B03002_001",3184,573,12.5942211055276,70.7914572864322,"core","70+ NL White",NA
06073017009,"Census Tract 170.09; San Diego County; California","Census Tract 170.09","San Diego"," California","B03002_012",979,299,"B03002_003",2381,344,"B03002_001",4204,412,23.2873453853473,56.6365366317793,"core","Other",NA
06073017010,"Census Tract 170.10; San Diego County; California","Census Tract 170.10","San Diego"," California","B03002_012",203,98,"B03002_003",2060,291,"B03002_001",3086,337,6.57809462086844,66.7530784186649,"core","Other",NA
06073017014,"Census Tract 170.14; San Diego County; California","Census Tract 170.14","San Diego"," California","B03002_012",188,111,"B03002_003",2127,379,"B03002_001",2603,370,7.22243565117173,81.7134076066078,"core","70+ NL White",NA
06073017018,"Census Tract 170.18; San Diego County; California","Census Tract 170.18","San Diego"," California","B03002_012",458,180,"B03002_003",1522,298,"B03002_001",3933,715,11.6450546656496,38.698194762268,"core","Other",NA
