"GEOID","FULL_CENSUS_TRACT_NAME","latino_population","white_population","total_population","latino_percentage","white_percentage","neighborhood_type"
"06001408500","Census Tract 4085; Alameda County; California",2783,149,5634,49.3965211217607,2.64465743698971,"Other"
"06001408600","Census Tract 4086; Alameda County; California",2695,398,6519,41.3406964258322,6.10523086362939,"Other"
"06001408700","Census Tract 4087; Alameda County; California",3788,673,7456,50.8047210300429,9.02628755364807,"Other"
"06001408800","Census Tract 4088; Alameda County; California",3644,328,7968,45.7329317269076,4.11646586345381,"Other"
"06001408900","Census Tract 4089; Alameda County; California",2694,171,3956,68.0990899898888,4.32254802831143,"Other"
"06001409000","Census Tract 4090; Alameda County; California",2960,165,5039,58.7418138519548,3.27445921809883,"Other"
"06001409100","Census Tract 4091; Alameda County; California",1559,256,2532,61.5718799368088,10.1105845181675,"Other"
"06001409200","Census Tract 4092; Alameda County; California",2249,45,3615,62.2130013831259,1.2448132780083,"Other"
"06001409300","Census Tract 4093; Alameda County; California",3769,129,5743,65.6277207034651,2.2462127807766,"Other"
"06001409400","Census Tract 4094; Alameda County; California",3107,217,4710,65.9660297239915,4.6072186836518,"Other"
"06001409500","Census Tract 4095; Alameda County; California",2755,505,4291,64.2041482171988,11.7688184572361,"Other"
"06001409600","Census Tract 4096; Alameda County; California",3599,172,5139,70.0330803658299,3.34695466043977,"Latino Neighborhood"
"06001409700","Census Tract 4097; Alameda County; California",1906,424,5240,36.3740458015267,8.09160305343512,"Other"
"06001409800","Census Tract 4098; Alameda County; California",529,618,3511,15.0669324978639,17.601822842495,"Other"
"06001409900","Census Tract 4099; Alameda County; California",536,926,3983,13.4571930705498,23.2488074315842,"Other"
"06001410000","Census Tract 4100; Alameda County; California",158,1038,3177,4.97324519987409,32.6723323890463,"Other"
"06001410100","Census Tract 4101; Alameda County; California",564,310,3172,17.780580075662,9.77301387137453,"Other"
"06001410200","Census Tract 4102; Alameda County; California",1205,343,3238,37.2143298332304,10.5929586164299,"Other"
"06001410300","Census Tract 4103; Alameda County; California",3044,79,3893,78.1916259953763,2.02928332905215,"Latino Neighborhood"
"06001410400","Census Tract 4104; Alameda County; California",2415,218,4687,51.5254960529123,4.65116279069767,"Other"
"06001410500","Census Tract 4105; Alameda County; California",373,662,3081,12.106458941902,21.4865303472898,"Other"
"06001420100","Census Tract 4201; Alameda County; California",350,1426,2631,13.3029266438616,54.1999239832763,"Other"
"06001420200","Census Tract 4202; Alameda County; California",158,1148,3275,4.82442748091603,35.0534351145038,"Other"
"06001420301","Census Tract 4203.01; Alameda County; California",230,1004,2645,8.69565217391304,37.9584120982987,"Other"
"06001420302","Census Tract 4203.02; Alameda County; California",171,849,2446,6.99100572363042,34.7097301717089,"Other"
"06001420401","Census Tract 4204.01; Alameda County; California",314,427,1333,23.5558889722431,32.033008252063,"Other"
"06001420402","Census Tract 4204.02; Alameda County; California",468,531,1661,28.1757977122216,31.9686935580975,"Other"
"06001420500","Census Tract 4205; Alameda County; California",404,1245,2548,15.8555729984301,48.861852433281,"Other"
"06001420600","Census Tract 4206; Alameda County; California",272,2222,3488,7.79816513761468,63.704128440367,"Other"
"06001421100","Census Tract 4211; Alameda County; California",111,1615,2108,5.26565464895636,76.6129032258064,"White Neighborhood"
"06001421200","Census Tract 4212; Alameda County; California",70,2473,3557,1.96795052010121,69.5248805172899,"Other"
"06001421300","Census Tract 4213; Alameda County; California",115,2907,4011,2.86711543256046,72.4756918474196,"White Neighborhood"
"06001421400","Census Tract 4214; Alameda County; California",147,1270,1638,8.97435897435897,77.5335775335775,"White Neighborhood"
"06001421500","Census Tract 4215; Alameda County; California",185,3312,4064,4.55216535433071,81.496062992126,"White Neighborhood"
"06001421600","Census Tract 4216; Alameda County; California",150,2746,3854,3.89206019719772,71.2506486766995,"White Neighborhood"
"06001421700","Census Tract 4217; Alameda County; California",199,2234,3421,5.81701256942415,65.3025431160479,"Other"
"06001421800","Census Tract 4218; Alameda County; California",114,1584,2260,5.04424778761062,70.0884955752212,"White Neighborhood"
"06001421900","Census Tract 4219; Alameda County; California",298,2089,4141,7.19632938903646,50.4467519922724,"Other"
"06001422000","Census Tract 4220; Alameda County; California",164,1214,2453,6.68569099062373,49.4904198940073,"Other"
"06001422100","Census Tract 4221; Alameda County; California",641,1495,3200,20.03125,46.71875,"Other"
"06001422200","Census Tract 4222; Alameda County; California",239,2054,3280,7.28658536585366,62.6219512195122,"Other"
"06001422300","Census Tract 4223; Alameda County; California",245,1875,3567,6.86851696103168,52.565180824222,"Other"
"06001422400","Census Tract 4224; Alameda County; California",522,1580,4187,12.4671602579412,37.7358490566038,"Other"
"06001422500","Census Tract 4225; Alameda County; California",585,1994,4467,13.0960376091336,44.6384598164316,"Other"
"06001422700","Census Tract 4227; Alameda County; California",793,1744,4803,16.5105142619196,36.3106391838434,"Other"
"06001422800","Census Tract 4228; Alameda County; California",1671,2486,8980,18.6080178173719,27.6837416481069,"Other"
"06001422901","Census Tract 4229.01; Alameda County; California",51,820,2024,2.5197628458498,40.5138339920949,"Other"
"06001422902","Census Tract 4229.02; Alameda County; California",209,907,3022,6.91594970218398,30.0132362673726,"Other"
"06001423000","Census Tract 4230; Alameda County; California",374,2605,4549,8.22158716201363,57.2653330402286,"Other"
"06001423100","Census Tract 4231; Alameda County; California",434,1766,4275,10.1520467836257,41.3099415204678,"Other"
"06001423200","Census Tract 4232; Alameda County; California",1004,1176,3003,33.4332334332334,39.1608391608392,"Other"
"06001423300","Census Tract 4233; Alameda County; California",579,1595,3476,16.6570771001151,45.8860759493671,"Other"
"06001423400","Census Tract 4234; Alameda County; California",1237,2613,5551,22.2842731039452,47.0725995316159,"Other"
"06001423500","Census Tract 4235; Alameda County; California",594,1935,3540,16.7796610169492,54.6610169491525,"Other"
"06001423601","Census Tract 4236.01; Alameda County; California",358,1715,2738,13.0752373995617,62.6369612856099,"Other"
"06001423602","Census Tract 4236.02; Alameda County; California",1006,3393,7198,13.9761044734649,47.1380939149764,"Other"
"06001423700","Census Tract 4237; Alameda County; California",603,2179,3606,16.7221297836938,60.4270660011093,"Other"
"06001423800","Census Tract 4238; Alameda County; California",189,2485,3425,5.51824817518248,72.5547445255474,"White Neighborhood"
"06001423901","Census Tract 4239.01; Alameda County; California",444,1168,2258,19.6634189548273,51.7271922054916,"Other"
"06001423902","Census Tract 4239.02; Alameda County; California",107,1041,1512,7.07671957671958,68.8492063492064,"Other"
"06001424001","Census Tract 4240.01; Alameda County; California",593,1683,3631,16.3315890939135,46.3508675296062,"Other"
"06001424002","Census Tract 4240.02; Alameda County; California",453,1004,2663,17.0108899737139,37.7018400300413,"Other"
"06001425101","Census Tract 4251.01; Alameda County; California",186,797,1754,10.6043329532497,45.4389965792474,"Other"
"06001425102","Census Tract 4251.02; Alameda County; California",399,1170,3969,10.0529100529101,29.4784580498866,"Other"
"06001425103","Census Tract 4251.03; Alameda County; California",215,971,3103,6.92877860135353,31.2922977763455,"Other"
"06001425104","Census Tract 4251.04; Alameda County; California",388,1668,4014,9.66616841056303,41.5545590433483,"Other"
"06001426100","Census Tract 4261; Alameda County; California",152,4288,6300,2.41269841269841,68.0634920634921,"Other"
"06001426200","Census Tract 4262; Alameda County; California",281,3310,4861,5.78070355893849,68.0929849825139,"Other"
"06001427100","Census Tract 4271; Alameda County; California",628,2448,4222,14.8744670772146,57.9819990525817,"Other"
"06001427200","Census Tract 4272; Alameda County; California",748,1468,4508,16.5927240461402,32.564330079858,"Other"
"06001427300","Census Tract 4273; Alameda County; California",430,1673,5283,8.13931478326708,31.6676130986182,"Other"
"06001427600","Census Tract 4276; Alameda County; California",733,1352,4740,15.464135021097,28.5232067510549,"Other"
"06001427700","Census Tract 4277; Alameda County; California",530,3052,5009,10.5809542822919,60.9303254142543,"Other"
"06001427800","Census Tract 4278; Alameda County; California",402,2198,4274,9.40570893776322,51.4272344408049,"Other"
"06001427900","Census Tract 4279; Alameda County; California",645,2441,4686,13.764404609475,52.0913358941528,"Other"
"06001428000","Census Tract 4280; Alameda County; California",409,925,2906,14.0743289745354,31.8306951135582,"Other"
"06001428100","Census Tract 4281; Alameda County; California",470,2495,4866,9.65885737772298,51.2741471434443,"Other"
"06001428200","Census Tract 4282; Alameda County; California",852,3329,6475,13.1583011583012,51.4131274131274,"Other"
"06001428301","Census Tract 4283.01; Alameda County; California",684,1874,7203,9.4960433152853,26.0169373871998,"Other"
"06001428302","Census Tract 4283.02; Alameda County; California",480,3110,7022,6.83565935630874,44.2893762460837,"Other"
"06001428400","Census Tract 4284; Alameda County; California",783,1763,4756,16.4634146341463,37.0689655172414,"Other"
"06001428500","Census Tract 4285; Alameda County; California",538,1376,3302,16.2931556632344,41.671714112659,"Other"
"06001428600","Census Tract 4286; Alameda County; California",362,1374,3235,11.1901081916538,42.4729520865533,"Other"
"06001428700","Census Tract 4287; Alameda County; California",683,1147,5078,13.4501772351319,22.587632926349,"Other"
"06001430101","Census Tract 4301.01; Alameda County; California",698,2381,7034,9.92323002558999,33.8498720500426,"Other"
"06001430102","Census Tract 4301.02; Alameda County; California",355,1314,2459,14.4367629117527,53.4363562423749,"Other"
"06001430200","Census Tract 4302; Alameda County; California",780,3950,7713,10.1127965772073,51.2122390768832,"Other"
"06001430300","Census Tract 4303; Alameda County; California",1049,1880,4290,24.4522144522145,43.8228438228438,"Other"
"06001430400","Census Tract 4304; Alameda County; California",142,1004,2155,6.58932714617169,46.5893271461717,"Other"
"06001430500","Census Tract 4305; Alameda County; California",970,1507,6250,15.52,24.112,"Other"
"06001430600","Census Tract 4306; Alameda County; California",1002,2404,6244,16.0474055092889,38.5009609224856,"Other"
"06001430700","Census Tract 4307; Alameda County; California",741,1575,4085,18.1395348837209,38.5556915544676,"Other"
"06001430800","Census Tract 4308; Alameda County; California",943,2472,5814,16.219470244238,42.5180598555212,"Other"
"06001430900","Census Tract 4309; Alameda County; California",1475,1463,5214,28.289221327196,28.0590717299578,"Other"
"06001431000","Census Tract 4310; Alameda County; California",492,820,3091,15.9171789065027,26.5286315108379,"Other"
"06001431100","Census Tract 4311; Alameda County; California",856,839,3259,26.2657256827248,25.7440932801473,"Other"
"06001431200","Census Tract 4312; Alameda County; California",1618,2114,5865,27.5873827791986,36.0443307757886,"Other"
"06001432100","Census Tract 4321; Alameda County; California",961,1260,3892,24.6916752312436,32.3741007194245,"Other"
"06001432200","Census Tract 4322; Alameda County; California",1469,1058,3987,36.8447454226235,26.5362427890645,"Other"
"06001432300","Census Tract 4323; Alameda County; California",1463,1214,4874,30.0164136233073,24.9076733688962,"Other"
"06001432400","Census Tract 4324; Alameda County; California",3501,801,6346,55.1686101481248,12.6221241727072,"Other"
"06001432501","Census Tract 4325.01; Alameda County; California",1356,989,4892,27.7187244480785,20.2166802943581,"Other"
"06001432502","Census Tract 4325.02; Alameda County; California",1544,554,5126,30.120952009364,10.807647288334,"Other"
"06001432601","Census Tract 4326.01; Alameda County; California",1015,985,4092,24.8044965786901,24.0713587487781,"Other"
"06001432602","Census Tract 4326.02; Alameda County; California",929,443,3123,29.7470381043868,14.1850784502081,"Other"
"06001432700","Census Tract 4327; Alameda County; California",586,1445,2755,21.2704174228675,52.4500907441016,"Other"
"06001432800","Census Tract 4328; Alameda County; California",535,1432,3862,13.8529259451062,37.0792335577421,"Other"
"06001433000","Census Tract 4330; Alameda County; California",601,1349,3799,15.8199526191103,35.509344564359,"Other"
"06001433102","Census Tract 4331.02; Alameda County; California",1293,332,4445,29.0888638920135,7.46906636670416,"Other"
"06001433103","Census Tract 4331.03; Alameda County; California",1425,459,3552,40.1182432432432,12.9222972972973,"Other"
"06001433104","Census Tract 4331.04; Alameda County; California",1673,1042,4398,38.0400181900864,23.6925875397908,"Other"
"06001433200","Census Tract 4332; Alameda County; California",2671,829,8120,32.8940886699507,10.2093596059113,"Other"
"06001433300","Census Tract 4333; Alameda County; California",2003,1355,7367,27.1888149857472,18.3928329034885,"Other"
"06001433400","Census Tract 4334; Alameda County; California",472,810,6040,7.81456953642384,13.4105960264901,"Other"
"06001433500","Census Tract 4335; Alameda County; California",903,1078,4311,20.946416144746,25.005799118534,"Other"
"06001433600","Census Tract 4336; Alameda County; California",1156,1656,5844,19.7809719370294,28.3367556468172,"Other"
"06001433700","Census Tract 4337; Alameda County; California",1623,392,3125,51.936,12.544,"Other"
"06001433801","Census Tract 4338.01; Alameda County; California",1645,308,3528,46.6269841269841,8.73015873015873,"Other"
"06001433802","Census Tract 4338.02; Alameda County; California",896,340,4301,20.8323645663799,7.90513833992095,"Other"
"06001433900","Census Tract 4339; Alameda County; California",3058,623,7187,42.5490468902184,8.66842910811187,"Other"
"06001434000","Census Tract 4340; Alameda County; California",2335,910,5166,45.1993805652342,17.6151761517615,"Other"
"06001435102","Census Tract 4351.02; Alameda County; California",1655,1519,6137,26.9675737330943,24.7515072510999,"Other"
"06001435103","Census Tract 4351.03; Alameda County; California",487,2699,7774,6.26447131463854,34.7182917417031,"Other"
"06001435104","Census Tract 4351.04; Alameda County; California",2116,1055,6856,30.8634772462077,15.3879813302217,"Other"
"06001435200","Census Tract 4352; Alameda County; California",1261,1073,4647,27.1357865289434,23.0901656983,"Other"
